Category,Term,Count,%,PValue,Genes,List Total,Pop Hits,Pop Total,Fold Enrichment,Bonferroni,Benjamini,FDR
GOTERM_MF_DIRECT,"GO:0003700~transcription factor activity, sequence-specific DNA binding",25,5.924170616,0.019718852,"B3292, B4062, B1328, B3828, B3067, B4178, B4299, B3169, B2531, B3129, B0313, B1284, B3261, B2405, B0546, B1439, B0603, B1275, B1450, B1530, B0464, B1696, B1531, B0564, B0346",268,186,3186,1.597857487,0.99499651,0.582801638,0.578419671
UP_KEYWORDS,RNA-binding,20,4.739336493,0.023098446,"B3260, B3183, B3083, B3162, B2759, B1716, B2606, B3311, B2760, B2782, B4202, B4049, B4225, B4203, B3169, B1563, B3783, B4179, B0233, B4347",400,122,4139,1.696311475,0.978346342,0.286860598,0.276365698
UP_KEYWORDS,Virus entry into host cell,4,0.947867299,0.02316897,"B0537, B0281, B1140, B1345",400,7,4139,5.912857143,0.978601206,0.286860598,0.276365698
UP_KEYWORDS,Viral genome integration,4,0.947867299,0.02316897,"B0537, B0281, B1140, B1345",400,7,4139,5.912857143,0.978601206,0.286860598,0.276365698
UP_KEYWORDS,Acyltransferase,13,3.08056872,0.0244881,"B1095, B0622, B3617, B4307, B1218, B1054, B3862, B2033, B0342, B1584, B1047, B0630, B0234",400,67,4139,2.007723881,0.982854832,0.286860598,0.276365698
INTERPRO,"IPR000792:Transcription regulator LuxR, C-terminal",6,1.421800948,0.025537231,"B0315, B2193, B2846, B1040, B1916, B0294",366,19,3956,3.413287317,0.999999967,1,1
UP_KEYWORDS,Nuclease,12,2.843601896,0.029205742,"B1348, B3083, B3130, B3022, B2782, B4225, B1340, B1563, B4179, B0233, B4347, B1159",400,61,4139,2.03557377,0.992257867,0.31931611,0.307633813
SMART,SM00857:SM00857,3,0.710900474,0.035730618,"B1374, B1545, B0544",66,4,792,9,0.819147833,1,1
GOTERM_BP_DIRECT,GO:0071468~cellular response to acidic pH,4,0.947867299,0.037504801,"B4011, B1160, B1592, B3238",288,9,3277,5.057098765,0.99999494,0.920310115,0.905885192
GOTERM_BP_DIRECT,GO:0043709~cell adhesion involved in single-species biofilm formation,4,0.947867299,0.037504801,"B1535, B0938, B0135, B0136",288,9,3277,5.057098765,0.99999494,0.920310115,0.905885192
GOTERM_MF_DIRECT,GO:0016740~transferase activity,6,1.421800948,0.03822631,"B2351, B2032, B0815, B1054, B2214, B0630",268,23,3186,3.101232966,0.999968567,1,0.996226415
GOTERM_BP_DIRECT,GO:0043488~regulation of mRNA stability,3,0.710900474,0.040725508,"B3083, B3022, B4225",288,4,3277,8.533854167,0.999998263,0.92795978,0.913414956
SMART,SM00421:HTH_LUXR,5,1.184834123,0.0435628,"B0315, B2193, B1040, B1916, B0294",66,17,792,3.529411765,0.876731079,1,1
UP_KEYWORDS,Antibiotic resistance,12,2.843601896,0.044224262,"B1348, B1053, B3311, B1563, B1530, B0463, B1532, B1531, B1663, B0762, B4337, B0841",400,65,4139,1.910307692,0.999399678,0.453298688,0.43671459
INTERPRO,IPR000361:FeS cluster biogenesis,3,0.710900474,0.044927351,"B2528, B0156, B3414",366,4,3956,8.106557377,1,1,1
GOTERM_BP_DIRECT,GO:0046718~viral entry into host cell,4,0.947867299,0.05018851,"B0537, B0281, B1140, B1345",288,10,3277,4.551388889,0.999999926,1,0.987421384
INTERPRO,"IPR016032:Signal transduction response regulator, C-terminal effector",7,1.658767773,0.052495474,"B0315, B3405, B2193, B2846, B1040, B1916, B0294",366,30,3956,2.522040073,1,1,1
GOTERM_BP_DIRECT,GO:0006310~DNA recombination,9,2.132701422,0.054111223,"B0537, B0281, B1141, B1140, B1374, B4312, B1345, B3558, B1545",288,48,3277,2.133463542,0.99999998,1,0.987421384
INTERPRO,IPR011009:Protein kinase-like domain,4,0.947867299,0.057278543,"B3207, B3625, B3630, B2237",366,10,3956,4.323497268,1,1,1
GOTERM_MF_DIRECT,GO:0015238~drug transmembrane transporter activity,5,1.184834123,0.057800756,"B4044, B0463, B1663, B0762, B4337",268,18,3186,3.302238806,0.999999868,1,0.996226415
GOTERM_MF_DIRECT,GO:0015297~antiporter activity,6,1.421800948,0.06092266,"B0402, B4044, B0260, B1663, B0576, B0543",268,26,3186,2.743398393,0.999999945,1,0.996226415
UP_SEQ_FEATURE,active site:O-(3'-phospho-DNA)-tyrosine intermediate,4,0.947867299,0.063598955,"B0537, B0281, B1140, B4312",400,10,4147,4.147,1,1,1
GOTERM_BP_DIRECT,GO:0030308~negative regulation of cell growth,3,0.710900474,0.063997271,"B3130, B2782, B4225",288,5,3277,6.827083333,0.999999999,1,0.987421384
GOTERM_BP_DIRECT,GO:0046688~response to copper ion,4,0.947867299,0.064664905,"B1112, B0572, B0573, B1841",288,11,3277,4.137626263,0.999999999,1,0.987421384
UP_SEQ_FEATURE,DNA-binding region:H-T-H motif,29,6.872037915,0.065908986,"B3292, B4062, B1328, B3828, B3067, B4178, B4299, B2531, B0313, B3082, B2193, B1040, B1284, B3261, B0294, B3021, B2405, B0546, B0603, B1438, B1916, B1275, B1450, B0464, B1696, B1531, B0564, B0620, B0346",400,218,4147,1.379162844,1,1,1
SMART,SM00357:CSP,4,0.947867299,0.067950096,"B1558, B0989, B3783, B4179",66,12,792,4,0.963386536,1,1
INTERPRO,"IPR003458:Bacteriophage T4, Gp38, tail fibre assembly",3,0.710900474,0.070369533,"B1546, B1373, B2354",366,5,3956,6.485245902,1,1,1
UP_SEQ_FEATURE,chain:Transposase insE for insertion sequence IS3A/B/C/D/E/fA/fB,3,0.710900474,0.075905156,"B0373, B0540, B1027",400,5,4147,6.2205,1,1,1
UP_SEQ_FEATURE,chain:Transposase insE for insertion sequence IS3,3,0.710900474,0.075905156,"B0373, B0540, B1027",400,5,4147,6.2205,1,1,1
GOTERM_BP_DIRECT,GO:0006855~drug transmembrane transport,5,1.184834123,0.07818848,"B4044, B1053, B0463, B1663, B4337",288,19,3277,2.994334795,1,1,0.987421384
UP_SEQ_FEATURE,domain:HTH luxR-type,5,1.184834123,0.087452103,"B0315, B2193, B1040, B1916, B0294",400,18,4147,2.879861111,1,1,1
INTERPRO,IPR011051:RmlC-like cupin domain,5,1.184834123,0.091127745,"B0515, B0505, B0391, B2038, B1696",366,19,3956,2.844406097,1,1,1
INTERPRO,IPR011129:Cold shock protein,4,0.947867299,0.091584443,"B1558, B0989, B3783, B4179",366,12,3956,3.60291439,1,1,1
UP_KEYWORDS,Signal,56,13.27014218,0.094994204,"B3192, B0557, B0559, B2617, B2817, B3661, B4310, B2376, B2214, B1841, B4397, B0545, B0622, B0985, B0303, B2449, B0986, B0987, B3219, B1839, B3937, B1112, B1431, B0463, B0224, B1039, B1038, B0938, B1503, B0138, B1502, B2558, B0217, B2957, B1504, B0494, B2432, B0572, B0573, B0135, B0498, B0136, B0137, B2390, B0292, B0293, B3043, B0843, B3917, B0604, B1419, B3596, B2346, B0442, B3238, B0565",400,482,4139,1.20219917,0.999999922,0.916414678,0.882887312
INTERPRO,IPR006683:Thioesterase superfamily,3,0.710900474,0.099250371,"B0736, B1253, B3820",366,6,3956,5.404371585,1,1,1
